Interactions Report,,,,,,,,,
,From,,To,,,,,,
4439,REV-ERBalpha,Transcription factor,PDE8A,Generic enzyme,Activation,Transcription regulation,x,NR1D1 and NR2E3 bind and activate the PDE8A promoter.,21408158
4440,LXR-beta,Transcription factor,MAP1LC3B,Generic binding protein,Activation,Transcription regulation,x,LXR-beta activates transcription of MAP1LC3B.,29199269
4441,EGLN2,Generic binding protein,HMGE,Generic binding protein,Activation,Transcription regulation,x,EGLN2 co-activates transcription of HMGE.,26492917
4442,Ikaros,Transcription factor,TMEM90A,Protein,Activation,Transcription regulation,x,Ikaros activates transcription of TMEM90A.,24509509
4443,GASC1,Generic enzyme,p53,Transcription factor,Inhibition,Binding,x,JMJD2C and JMJD2A interact with p53 and JMJD2A and JMJD2C inhibit p53 function.,22134899;33462212
4444,RACK1,Generic binding protein,MKK7 (MAP2K7),Protein kinase,Activation,Binding,x,RACK1 binds to and activates MKK7 (MAP2K7) .,22903704;25428880
4445,ZNF288,Transcription factor,hASH1,Transcription factor,Inhibition,Transcription regulation,x,ZNF288 inhibits transcription of hASH1.,23283686
4446,Androgen receptor,Transcription factor,SNM1,Protein,Activation,Transcription regulation,x,Androgen receptor activates transcription of SNM1 .,17699749;17721441
4447,hASH1,Transcription factor,Secretagogin,Generic binding protein,Activation,Transcription regulation,x,hASH1 activates transcription of Secretagogin.,34466783
4448,RelA (p65 NF-kB subunit),Transcription factor,PER2,Transcription factor,Inhibition,Transcription regulation,x,RelA (p65 NF-kB subunit) inhibits transcription of PER2.,30366905
4449,Clathrin heavy chain,Generic binding protein,Androgen receptor,Transcription factor,Activation,Binding,x,Binding of Clathrin heavy chain to Androgen receptor was shown by co-immunoprecipitation coupled to quantitative mass spectrometry.,17052974;34256096
4450,PES1,Generic binding protein,Cyclin E2,Generic binding protein,Activation,Transcription regulation,x,"ESR, ESR2 and PES1 bind to and activate theCyclin E2 promoter.",22820289
4451,TR-beta,Transcription factor,Myelin basic protein,Generic binding protein,Activation,Transcription regulation,x,TR-beta1 binds to Myelin basic protein gene promoter region.,1379237;19240802
4452,DDX5,Generic enzyme,Stanniocalcin 1,Generic binding protein,Activation,Transcription regulation,x,DDX5 co-activates transcription of Stanniocalcin 1.,24275493
4453,MITF,Transcription factor,STAT1,Transcription factor,Inhibition,Transcription regulation,x,MITF inhibits transcription of STAT1.,29723194
4454,AML1 (RUNX1),Transcription factor,GPAM,Generic enzyme,Activation,Transcription regulation,x,"Runx1 is required for ER-alpha localization to, and regulation of, a subset of tethering genes (GPAM and KCTD6).",20547749
4455,HPK38,Protein kinase,CDC25B,Protein phosphatase,Inhibition,Binding,x,CDC25B physically interacts with  HPK38.,12400006;15908796;17568790
4456,HIC5,Generic binding protein,KLF4,Transcription factor,Activation,Transcription regulation,x,Hic-5/ARA55 coregulates and activates KLF4 promoter.,15687259
4457,AML1 (RUNX1),Transcription factor,EGR2 (Krox20),Transcription factor,Inhibition,Transcription regulation,x,AML1 (RUNX1) inhibits transcription of EGR2 (Krox20).,26275053;29038474;30185409;30500954;32341038;34810221
4458,BAIAP2,Generic binding protein,VASP,Generic binding protein,Activation,Binding,x,IRSp53 recruits VASP to drive processive filament elongation (PMID: 24076653).,19933840;23555988;24076653
4459,NCOA1 (SRC1),Generic enzyme,TR-beta,Transcription factor,Activation,Binding,x,NCOA1 (SRC1) interacts with TR-beta2 and increases its activity.,8754792;10195697;10379889;10454579;10529898;10617569;10636876;10713439;10809226;12089358;15604093;15862828;16092128;16738222;19211732;19406944;23558175;30979869
4460,YY1,Transcription factor,PRMT5,Generic enzyme,Inhibition,Transcription regulation,x,YY1 inhibits transcription of PRMT5.,17567998;17721549;32092784
4461,RelA (p65 NF-kB subunit),Transcription factor,SLC5A2,Transporter,Activation,Transcription regulation,x,RelA (p65 NF-kB subunit) activates transcription of SLC5A2.,33387601
4462,Esrra,Transcription factor,NOL1,Generic enzyme,Activation,Transcription regulation,x,Esrra activates transcription of NOL1.,35264626
4463,HDGF,Receptor ligand,SMYD1,Generic binding protein,Inhibition,Transcription regulation,x,HDGF bind to gene SMYD1 promoter and represses SMYD1.,17974029
4464,PERC,Generic binding protein,c-Fos,Transcription factor,Activation,Transcription regulation,x,PGC1brta  binds to the  PPREs  in the endogenous c-fos promoter upon BRL stimulation of the bone marrow-derived osteoclast precursors.,20519122
4465,Esrra,Transcription factor,NOXA,Generic binding protein,Inhibition,Transcription regulation,x,Esrra inhibits transcription of NOXA.,24127579;32079653
4466,SSAT,Generic enzyme,HPK38,Protein kinase,Activation,Transcription regulation,x,SSAT co-activates transcription of HPK38.,31399646
4467,TTI2,Generic binding protein,ATM,Protein kinase,Activation,Binding,x,TTI2 interacts with ATM and increases its stability.,20810650;21951644
4468,TCF7L2 (TCF4),Transcription factor,cytochrome P-450 reductase,Generic enzyme,Activation,Transcription regulation,x,TCF7L2 (TCF4) probably regulates transcription of cytochrome P-450 reductase.,18268006;24214913;32675279
4469,Androgen receptor,Transcription factor,PMEPA1,Generic binding protein,Activation,Transcription regulation,x,Androgen receptor activates transcription of PMEPA1 .,14695335;15548588;16213525;17075604;17699749;18703514;18787043;19318562;21330406;21572438;22589544;22865883;23518348;26715186;29108267;29249800;30270106
4470,eIF4E,Generic binding protein,STAT3,Transcription factor,Activation,Binding,x,eIF4E binds to and activates STAT3.,39181434
4471,FBXW11,Generic binding protein,SPAR (SIPA1L1),"Regulators (GDI, GAP, GEF)",Inhibition,Binding,x,SPAR associates with beta-TRCP2 in a phosphorylation-dependent manner. Beta-TRCP2 is necessary for Plk2-induced degradation of SPAR.,18723513
4472,ATM,Protein kinase,BTF,Transcription factor,Activation,Binding,x,ATM binds to and activates BTF.,34251713;36469004
4473,NUR77,Transcription factor,IKK-epsilon,Protein kinase,Inhibition,Transcription regulation,x,NUR77 inhibits transcription of IKK-epsilon.,16339277;25307349
4474,PPP2R5D,Protein phosphatase,PR65-alpha,Generic binding protein,Activation,Binding,x,PPP2R5D binds to and activates PR65-alpha.,18782753;19156129;19293187;20360068;31031016;31142515;31432583;32296183
4475,Menin,Transcription factor,JunD,Transcription factor,Inhibition,Binding,x,Interaction of purified Menin with JunD was shown by liquid-chromatography mass spectrometry and directed functional perturbation studies using RNA interference.,9989505;10500243;12226747;12509449;14559791;14743216;15256779;15563473;16264271;16651450;16997566;18323693;18427548;22275377;22327296;23410942;23784080;32815777
4476,IGF2BP3,Generic binding protein,Cyclin D1,Generic binding protein,Activation,Binding,x,IGF2BP3 binds to and activates Cyclin D1.,23812426;27840950
4477,Androgen receptor,Transcription factor,BRD2,Protein kinase,Activation,Transcription regulation,x,Androgen receptor activates transcription of BRD2.,24759320;28591577;31527644
4478,Androgen receptor,Transcription factor,ST7,Generic binding protein,Inhibition,Transcription regulation,x,Androgen receptor inhibits transcription of ST7.,20890304;21909140;28306720;33640491
4479,PARD3,Generic binding protein,14-3-3 zeta/delta,Generic binding protein,Inhibition,Binding,x,PARD3 binds to and inhibits 14-3-3 zeta/delta.,27588399;33961781
4480,AML1 (RUNX1),Transcription factor,ROR-alpha,Transcription factor,Activation,Transcription regulation,x,AML1 (RUNX1) activates transcription of ROR-alpha.,25605286;32341038
4481,CBP,Generic enzyme,XIAP,Generic binding protein,Activation,Transcription regulation,x,CBP co-activates transcription of XIAP.,24566868
4482,SOX10,Transcription factor,MIA,Generic binding protein,Activation,Transcription regulation,x,SOX10 activates transcription of MIA.,24608986;34728538;37961514
4483,RelB (NF-kB subunit),Transcription factor,NQO1,Generic enzyme,Inhibition,Transcription regulation,x,RelB (NF-kB subunit) inhibits transcription of NQO1.,28254546;35193967
4484,FKHR,Transcription factor,NDUFAB1,Generic enzyme,Activation,Transcription regulation,x,FKHR activates transcription of NDUFAB1.,23135404
4485,EGR1,Transcription factor,TSLP,Receptor ligand,Activation,Transcription regulation,x,EGR1 activates transcription of TSLP.,26120956;26474944;33919431;35563251
4486,ALKBH5,Generic enzyme,MCM7,Generic enzyme,Activation,Binding,x,ALKBH5 binds to and activates MCM7.,32402250
4487,DAL1,Generic binding protein,GRP78,Generic binding protein,Activation,Binding,x,DAL1 binds to and activates GRP78.,25609022
4488,FKHR,Transcription factor,TGF-beta 1,Receptor ligand,Activation,Transcription regulation,x,FKHR activates transcription of TGF-beta 1.,21940942;24145170;25918228;26052839;27924058;35700043
4489,TORC1,Generic binding protein,CART,Generic binding protein,Activation,Transcription regulation,x,Crtc1 occupancy of the Cartpt and Kiss1 promoters was low under basal conditions (when Crtc1 is sequestered in the cytoplasm) and increased after exposure to cAMP or calcium activator.,18758446
4490,ZNF653,Generic binding protein,PPAR-gamma,Transcription factor,Inhibition,Binding,x,"coexpression of Zip67 led to a dose-dependent decrease in reporter gene activity for PPAR-gamma, suggesting that Zip67 functions as a general cofactor for group of transcription factors.",12920234
4491,p53,Transcription factor,PABP2,Generic binding protein,Inhibition,Transcription regulation,x,p53 inhibits transcription of PABP2.,32243883;37258665
4492,CTCF,Transcription factor,WNT4,Receptor ligand,Inhibition,Transcription regulation,x,CTCF inhibits transcription of WNT4.,21871842;24319535;32451376;37489832
4493,PRKCBP1,Generic binding protein,SMCY,Generic binding protein,Activation,Binding,x,PRKCBP1 binds to and activates SMCY.,27477906
4494,Androgen receptor,Transcription factor,MCCC2,Generic enzyme,Activation,Transcription regulation,x,Androgen receptor activates transcription of MCCC2.,17299418;25704883;39106160
4495,C/EBPbeta,Transcription factor,BRM,Generic enzyme,Activation,Transcription regulation,x,C/EBPbeta stimulated the transcriptional activity of the brm promoter.,10619021;17257825;18082132;21638299;22242598
4496,GADD45 gamma,Generic binding protein,NXF,Transcription factor,Activation,Transcription regulation,x,GADD45 gamma co-activates transcription of NXF.,30545945
4497,RelA (p65 NF-kB subunit),Transcription factor,RACK1,Generic binding protein,Activation,Transcription regulation,x,RelA (p65 NF-kB subunit) probably regulates transcription of RACK1 in human B-cell lymphoma.,14645685;18277385;23555900
4498,RhoE,RAS - superfamily,RelA (p65 NF-kB subunit),Transcription factor,Activation,Binding,x,RhoE binds to and activates RelA (p65 NF-kB subunit).,33416158
4499,STAT3,Transcription factor,MKP-1,Protein phosphatase,Activation,Transcription regulation,x,STAT3 activates transcription of MKP-1.,18277385;19282476;22328012;23932718;29797567
4500,CTCF,Transcription factor,FLJ10094,Generic binding protein,Inhibition,Transcription regulation,x,CTCF inhibits transcription of FLJ10094.,37489832
4501,GLI-2,Transcription factor,c-Jun,Transcription factor,Activation,Transcription regulation,x,c-JUN is a direct target of GLI1 and GLI2 in human keratinocytes.,19219074
4502,SMRT,Generic binding protein,ID2,Transcription factor,Inhibition,Transcription regulation,x,GR and SMRT bind and repress the gene ID2 promoter.,21496643
4503,NR1,Ligand-gated ion channel,SHC3,Generic binding protein,Activation,Binding,x,NR1 physically interacts with SHC3 and increases its activity.,15716419
4504,SET8,Generic enzyme,Androgen receptor,Transcription factor,Activation,Binding,x,SET8 binds to and activates Androgen receptor.,24937452
4505,C/EBPbeta,Transcription factor,ABCC1,Transporter,Activation,Transcription regulation,x,C/EBPbeta activates transcription of ABCC1.,29712898
4506,ATF-7,Transcription factor,SETDB1,Generic enzyme,Activation,Binding,x,ATF-7 recruits the ESET HMTase to the 5-HT receptor 5B (Htr5b) gene.,19893493
4507,BRG1,Generic enzyme,APG16L1,Generic binding protein,Activation,Transcription regulation,x,BRG1 co-activates transcription of APG16L1.,31601814
4508,NCOA1 (SRC1),Generic enzyme,Cyclin D1,Generic binding protein,Activation,Transcription regulation,x,NCOA1 (SRC1) co-activates transcription of Cyclin D1.,9832502;16860316;17166846;17344214;21505052;26361959;35418691
4509,CoREST,Generic binding protein,Plakophilin 1,Generic binding protein,Inhibition,Transcription regulation,x,CoREST co-regulates transcription of Plakophilin 1.,19888342;25228645
4510,FNBP1,Generic binding protein,N-WASP,Generic binding protein,Activation,Binding,x,FBP17 recruited N-WASP-WIP to the membrane. Conserved acidic residues near the SH3 domain of FBP17 positioned the N-WASP-WIP to be spatially close to the membrane for activation of curvature-dependent actin polymerization.,14732713;16326391;16418535;18923421
4511,Nociceptin,Receptor ligand,Nociceptin receptor,GPCR,Activation,Binding,x,Nociceptin binds to and activates Nociceptin receptor .,10692489;11097863;12123846;12708619
4512,p53,Transcription factor,CDC25B,Protein phosphatase,Inhibition,Transcription regulation,x,p53 binds to CDC25B promoter and decreases CDC25B mRNA expression.,17982488;21242964;33745968
4513,Androgen receptor,Transcription factor,C/EBPdelta,Transcription factor,Activation,Transcription regulation,x,Androgen receptor probably regulates gene C/EBPdelta transcription.,20634343;24810056;26187065
4514,NANOG,Transcription factor,GATE-16,Generic binding protein,Inhibition,Transcription regulation,x,"Probably, ATG8 (GATE-16) is one of the Nanog genomic targets in murine ES cells.",18700969;33915080
4515,Rab-11A,RAS - superfamily,TfR1,Generic receptor,Inhibition,Binding,x,Rab-11A binds to and inhibits TfR1.,33609526;34079125;35271311
4516,EGR2 (Krox20),Transcription factor,CG4853,"Regulators (GDI, GAP, GEF)",Activation,Transcription regulation,x,EGR2 (Krox20) activates transcription of CG4853.,23548837
4517,SON,Generic binding protein,EGR1,Transcription factor,Inhibition,Transcription regulation,x,SON co-inhibits transcription of EGR1.,26990989
4518,p53,Transcription factor,LIPIN1,Generic binding protein,Activation,Transcription regulation,x,"Lpin1 as a p53-responsive gene that is induced in response to DNA damage and glucose deprivation. Three discrete regions in the first and second introns of Lpin1 showed p53-specfic enrichment in the ChIP assay. Lpin1 mRNA and protein levels was induced in glucose-deprived C2C12 myoblasts, and this induction was attenuated upon short hairpin RNA (shRNA)-mediated repression of p53.",22055193;22387025;25704813;30710145;32745107;38360943
4519,PROX1,Transcription factor,SYP,Transporter,Activation,Transcription regulation,x,PROX1 activates transcription of SYP.,26760117
4520,TCF7L2 (TCF4),Transcription factor,C11orf9,Transcription factor,Activation,Transcription regulation,x,TCF7L2 (TCF4) activates transcription of C11orf9.,26955760
4521,SMAD4,Transcription factor,MSX-2,Transcription factor,Activation,Transcription regulation,x,SMAD4 binds to gene MSX-2 promoter and activates MSX-2 expression.,14551209;15459107;20878775;31125045;34822715
